Ano,Potencial Doador,Potencial Doador (PMP),Doador Efetivo,Doador Efetivo (PMP),Percentual de Efetivação,Entrevista Familiar,Negativa Familiar,Negativa Familiar (%)
2013,177,"55,9",44,"13,9","24,9%",279,146,"52,3%"
2014,175,"55,2",44,"13,9","25,1%",233,105,"45,1%"
2015,157,"46,1",36,"10,6","22,9%",144,79,"54,9%"
2016,152,"44,2",39,"11,3","25,7%",97,53,"54,6%"
2017,173,"49,8",47,"13,5","27,2%",124,66,"53,2%"
2018,159,"45,3",32,"9,1","20,1%",101,71,"70,3%"
2019,217,"62,4",52,"14,9","24,0%",126,71,"56,3%"
2020,188,"53,6",24,"6,8","12,8%",100,64,"64,0%"
2021,207,"58,6",19,"5,4","9,2%",107,67,"62,6%"
2022,231,"64,9",36,"10,1","15,6%",131,88,"67,2%"
2023,223,"67,5",32,"9,7","14,3%",134,89,"66,4%"
